asset,strategy,return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate,profit_factor,avg_win,avg_loss,chop_pct,exposure_pct
SOL,Buy & Hold,11040.259755611525,,-96.01730403183069,,1,,,,,0.0,100.0
SOL,Baseline,9734.206846035791,105.677898496036,-79.8486700399947,1.1808631537257785,6,50.0,30.817466082715676,1022.4095000000001,-33.1763,0.0,50.750750750750754
SOL,Filtered,73.91657950375243,9.087010445075027,-71.84002949758764,0.4133206006943587,4,25.0,4.9178108067104125,489.4643,-33.1763,0.0,29.129129129129126
SOL,Hybrid,112.37474912341057,12.566436643236113,-76.52875107648424,0.47943023186857875,4,50.0,5.083808222965557,215.13075,-42.31685,0.0,31.23123123123123
SOL,Scaled 25%,1395.431848130915,52.97887354513912,-77.5030971673724,0.914958408891882,6,50.0,11.654052286057107,363.28357189696766,-31.172296380684653,0.0,40.856162330058716
SOL,Trail 15% + Reentry,1283.9051551317104,51.126720816329005,-69.84313168639449,0.868655333699661,62,54.83870967741935,2.071736089809191,26.298581123780117,-15.414121287780093,3.225806451612903,33.033033033033036
SOL,Trail 20% + Reentry,3297.099751200575,74.03462989676099,-78.01528483435317,1.034079155503271,50,57.99999999999999,2.513824352367467,33.108066783947905,-18.187692235125553,4.0,36.33633633633634
SOL,Trail 25% + Reentry,1070.7753059058157,47.20615692196925,-79.25551996791359,0.8356252858465365,38,47.368421052631575,2.339490305847746,51.462916075386985,-19.797741564509213,5.263157894736842,39.93993993993994
BNB,Buy & Hold,404651.2724824144,,-77.63286159237137,,1,,,,,0.0,100.0
BNB,Baseline,1449.6534763819639,35.916435398013235,-77.22959983550254,0.7150341230864856,10,50.0,16.69001874582528,325.32751999999994,-19.492340000000002,0.0,48.60813704496788
BNB,Filtered,2176.450099655228,41.89719139248918,-73.21409766033568,0.7733036371392203,7,57.14285714285714,27.839489146246997,405.23229999999995,-19.408033333333332,0.0,37.901498929336185
BNB,Hybrid,1349.224406894138,34.9005534879294,-79.51565382917633,0.7033275806387285,6,50.0,20.351205415442372,531.9316666666666,-26.137600000000003,0.0,34.04710920770878
BNB,Scaled 25%,1204.2548380451315,33.317896918878944,-78.75332443181907,0.6869778495193496,10,50.0,18.151447532785042,302.39921736901863,-16.6597852222434,10.0,36.897033979460645
BNB,Trail 15% + Reentry,365.73639497141215,18.798907354425975,-76.59586008922008,0.5248894032269538,51,47.05882352941176,1.9346084201619311,26.914258720857614,-12.366215964080595,9.803921568627452,38.32976445396146
BNB,Trail 20% + Reentry,159.56485529462964,11.27141283553268,-87.51535151518097,0.4435182648128519,33,45.45454545454545,1.980866881045668,39.33657705237663,-16.548553156523187,9.090909090909092,41.7558886509636
BNB,Trail 25% + Reentry,335.9979461015241,17.924441982372464,-87.83955363313792,0.533809350260094,26,38.46153846153847,2.451082213245462,71.92680844065748,-18.34057422981634,3.8461538461538463,43.683083511777305
ZEC,Buy & Hold,-54.97419407448323,,-99.00844320139326,,1,,,,,0.0,100.0
ZEC,Baseline,-28.253570412605345,-3.327171750542013,-95.5464646610919,0.3481716901809677,11,45.45454545454545,2.18433062675305,91.84703999999999,-35.04011666666667,0.0,32.748538011695906
ZEC,Filtered,-16.88636300528926,-1.8673107340437367,-92.40764363052975,0.29301955399044644,7,42.857142857142854,2.568878135379682,131.58273333333332,-38.416399999999996,0.0,20.2729044834308
ZEC,Hybrid,39.04403939075216,3.4162631224567974,-87.30345809084052,0.33741160262082676,4,50.0,4.030431561185831,139.25665,-34.5513,0.0,15.009746588693956
ZEC,Scaled 25%,187.40835407379492,11.359239391204067,-77.03060372194979,0.4293743284306019,10,30.0,5.652124767339552,101.61065098784928,-7.704610857773602,20.0,17.991283989571386
ZEC,Trail 15% + Reentry,-89.41891202799049,-20.459439991907903,-98.67872787204034,-0.00635686652873486,61,40.98360655737705,0.9265356954230655,26.259080376527063,-19.681349109138047,4.918032786885246,20.857699805068226
ZEC,Trail 20% + Reentry,-92.47027170753633,-23.1699439734685,-98.3623856382968,-0.07159943812236227,53,37.735849056603776,0.853187175878407,28.916043665697156,-20.540480968744596,5.660377358490567,23.00194931773879
ZEC,Trail 25% + Reentry,-81.66141243173496,-15.874302134098016,-97.44643543828349,0.15697109763339462,39,33.33333333333333,1.162535987271228,54.6204177625247,-23.491925566421784,5.128205128205128,25.925925925925924
