tf,asset,strategy,return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate,profit_factor,avg_win,avg_loss,exposure_pct
1D,ETH,Daily AND Weekly green,21433.53886759351,69.08185465090504,-44.8511730516492,1.2842023773825644,38,63.1578947368421,7.483386515224626,47.597302965154505,-10.903536299466982,27.080545892427082
1D,ETH,Daily OR Weekly green,75463.66225024576,91.16053594239557,-71.05841892022843,1.2173605481282632,46,41.30434782608695,11.616366727772947,203.4115923178898,-12.322397720806938,68.95905806796895
1D,ETH,Weekly state only,12578.720677287496,60.54883085175029,-69.76821398878896,1.0400713278863962,12,50.0,21.89150800611294,446.51075878691614,-20.396528126898954,46.855766657746855
1D,SOL,Buy & Hold,225.90201419012072,25.724269518994227,-96.27458330595951,,1,,,,,100.0
1D,SOL,Signal,1132.7811371335433,62.696137897629335,-67.2706517932912,1.0617889494590116,39,38.46153846153847,3.6431545233206544,59.832729346286555,-10.264581313269131,46.71261930010605
1D,SOL,Signal (next-bar fill),1135.4820672487012,62.7651460259681,-64.50220702847828,1.060631581233841,39,43.58974358974359,3.7066390077010802,55.44434671419728,-11.558546363860549,46.65959703075291
1W,SOL,Buy & Hold,33.08794242470026,5.857790906499938,-96.00092871325178,,1,,,,,100.0
1W,SOL,Signal,704.1216939006903,51.46044399183778,-62.09509392833752,0.9024441801141988,4,50.0,19.304564924941662,276.58971683147877,-14.327684560977726,43.72623574144487
1W,SOL,Signal (next-bar fill),397.05161077502373,37.62322647021688,-62.37425136352825,0.7682150356327699,4,50.0,10.338114481615936,279.50021137294686,-27.035898264618424,43.346007604562736
1D,SOL,Daily AND Weekly green,575.6251446218957,44.80023098433268,-63.14785529732141,1.0076039371355774,18,50.0,5.018458755552634,54.657882367473775,-10.89136825265287,22.26935312831389
1D,SOL,Daily OR Weekly green,1314.7981220189433,67.09602971661921,-76.58873734266761,1.046284328245687,25,32.0,7.484472874580202,159.64147484727198,-10.037500460891403,66.43690349946978
1D,SOL,Weekly state only,675.3794708624662,48.71615277527703,-67.86172045522872,0.9454333454904346,4,50.0,22.661422288640367,269.0305256742595,-11.871740539830022,41.993637327677625
1D,BNB,Buy & Hold,596293.1470848088,160.3098483112478,-80.25995498544253,,1,,,,,100.0
1D,BNB,Signal,805944.9188948197,169.0839733299821,-59.804731964541034,1.4812093908791801,47,53.191489361702125,16.287991356438102,131.64947747311288,-9.18478378781719,54.78915662650602
1D,BNB,Signal (next-bar fill),608082.1442261252,160.87119115489224,-68.06512055179115,1.4432618057541748,47,51.06382978723404,13.197621801081405,129.44185071162556,-10.234401265630856,54.75903614457831
1W,BNB,Buy & Hold,89665.4285927033,113.77408848726098,-78.02694340328871,,1,,,,,100.0
1W,BNB,Signal,29439.504381620067,88.80854650472767,-80.06831413681802,0.9873330190400881,8,62.5,27.36737372573285,456.6515026708671,-27.809969835327994,47.64957264957265
1W,BNB,Signal (next-bar fill),35798.56715533619,92.96670666262794,-75.20610010227384,1.0107434595226545,8,62.5,29.570782469147463,518.0212871345967,-29.196684693473575,47.43589743589743
1D,BNB,Daily AND Weekly green,15407.448969334413,74.20677449300732,-62.02813790546824,1.1142047363988021,25,56.00000000000001,13.693757929560698,127.0825615900009,-11.811326215609995,27.620481927710845
1D,BNB,Daily OR Weekly green,1285627.4582663716,183.27253692679653,-79.26614981411693,1.4891321868708018,30,43.333333333333336,31.647392028629515,349.4540111463408,-8.443967126696899,73.79518072289156
1D,BNB,Weekly state only,24636.03205001972,83.39254601370214,-76.06552651325543,1.1285125704817454,8,62.5,26.374480055028528,466.52042957949027,-29.480545120771268,46.626506024096386
1D,ZEC,Buy & Hold,1378.5639229422068,43.886241094667476,-94.28142870535295,,1,,,,,100.0
1D,ZEC,Signal,1138.785341061663,40.488039766456716,-87.77714338832658,0.8054086540716789,54,37.03703703703704,3.4370790719759805,75.87480860541885,-12.985514566724706,46.13678373382625
1D,ZEC,Signal (next-bar fill),1441.2409593517689,44.69541723447523,-84.26827055020092,0.8435728644952617,54,37.03703703703704,3.9487999840945087,78.73756581665371,-11.72918744246996,46.09981515711645
1W,ZEC,Buy & Hold,1023.6325013276687,39.52241876101441,-93.8867059593975,,1,,,,,100.0
1W,ZEC,Signal,-2.9090903654796496,-0.40562324784341186,-95.64280915071375,0.3789832595710612,12,33.33333333333333,3.180444545699174,141.6227908276626,-22.26462194085024,35.526315789473685
1W,ZEC,Signal (next-bar fill),-48.14008438202427,-8.643456480348998,-95.17095066861665,0.3009608056259863,12,33.33333333333333,2.80896257495418,183.01768971507343,-32.577452499177355,35.26315789473684
1D,ZEC,Daily AND Weekly green,772.9107140288436,33.999755062301794,-73.87271131141301,0.7666675515837987,23,43.47826086956522,6.1714249408042905,115.10965041477516,-14.347721277300781,17.042513863216264
1D,ZEC,Daily OR Weekly green,159.22923101006953,13.731158750917526,-96.4613469823047,0.6038916912170962,42,33.33333333333333,3.311206138497374,93.04780981876293,-14.05044052331155,63.548983364140476
1D,ZEC,Weekly state only,82.118648990798,8.43464613298892,-94.04288361164052,0.4954360519518658,12,41.66666666666667,4.198602720474903,148.2405919080761,-25.21937514136142,34.4547134935305
