event_date,close_price_usd,market_cap_usd,volume_usd
2024-10-07 00:00:00 UTC,28.97930097980178,441874806.5478871,83552716.33561203
2024-10-08 00:00:00 UTC,29.00789140074456,438001276.6113674,81560593.33802356
2024-10-09 00:00:00 UTC,29.07320125504112,438578297.5924564,76867232.35451786
2024-10-10 00:00:00 UTC,33.75378757137851,439611237.5719275,71653354.71237203
2024-10-11 00:00:00 UTC,36.16242268933699,510815060.5854262,105088117.07460836
2024-10-12 00:00:00 UTC,34.54335963402711,546064086.2047796,146846609.3545443
2024-10-13 00:00:00 UTC,35.46405364848451,522161489.4080808,90064959.92918976
2024-10-14 00:00:00 UTC,36.2504656968367,538016522.2892884,93945797.92912364
2024-10-15 00:00:00 UTC,37.56800999733135,546466238.2661265,93408040.69018726
2024-10-16 00:00:00 UTC,37.07507194597695,568012350.9745898,94230468.72530128
2024-10-17 00:00:00 UTC,36.22244793999374,560740668.0836995,105922415.98059304
2024-10-18 00:00:00 UTC,35.92926391474004,547629984.2119701,87398100.60267209
2024-10-19 00:00:00 UTC,36.97252709147561,544353990.061457,76181301.1706995
2024-10-20 00:00:00 UTC,36.916491285212864,559112470.5414095,63999120.96890757
2024-10-21 00:00:00 UTC,37.45641339045388,557956917.0590229,55318836.83852063
2024-10-22 00:00:00 UTC,37.93363942438112,566681996.7683887,80050878.68349569
2024-10-23 00:00:00 UTC,37.91063633603993,573659917.6167449,76018174.57951291
2024-10-24 00:00:00 UTC,36.97970967143255,573192715.6563896,77819554.18273203
2024-10-25 00:00:00 UTC,35.79902141896185,558824771.5238571,79108294.953679
2024-10-26 00:00:00 UTC,34.67342557351419,540161911.2538061,79900685.85023448
2024-10-27 00:00:00 UTC,38.09462866742795,524382081.1384504,68935099.71251589
2024-10-28 00:00:00 UTC,38.45831804836836,574192792.8809917,76896016.47801301
2024-10-29 00:00:00 UTC,38.49076389638664,581558613.4699434,108645901.2212982
2024-10-30 00:00:00 UTC,38.46725787134459,583431533.278028,108545691.900893
2024-10-31 00:00:00 UTC,36.78503528291425,581587584.8741238,85006517.58212589
2024-11-01 00:00:00 UTC,37.96532148887475,555949684.8679793,72003999.9231699
2024-11-02 00:00:00 UTC,36.96542945199967,574019474.6088156,81577597.17653304
2024-11-03 00:00:00 UTC,37.27917390518671,556522480.530144,63413101.49026096
2024-11-04 00:00:00 UTC,36.96613033731875,564051406.8583355,70901957.96825972
2024-11-05 00:00:00 UTC,38.20929848161085,558759937.7665852,77304960.44613524
